,leagueID,season,homeTeamID,awayTeamID,home_shots_h_rolling5,home_shotsOnTarget_h_rolling5,home_shots_a_rolling5,home_shotsOnTarget_a_rolling5,home_fouls_h_rolling5,home_fouls_a_rolling5,home_ppda_h_rolling5,home_ppda_a_rolling5,home_deep_h_rolling5,home_corners_h_rolling5,home_total_key_passes_h_rolling5,home_total_assists_a_rolling5,away_shotsOnTarget_h_rolling5,away_fouls_h_rolling5,away_fouls_a_rolling5,away_ppda_h_rolling5,away_deep_h_rolling5,away_deep_a_rolling5,away_total_key_passes_h_rolling5,away_total_key_passes_a_rolling5,away_total_saved_shots_h_rolling5,away_total_saved_shots_a_rolling5,result
7761,4.0,2018.0,151.0,159.0,13.2,4.6,12.8,2.4,9.2,12.4,9.2814,13.793600000000001,6.0,4.2,8.0,0.2,4.4,10.2,12.4,8.460579999999997,7.0,3.6,10.0,7.4,2.8,1.4,2.0
8501,3.0,2018.0,135.0,121.0,10.4,2.0,17.2,5.4,4.2,12.4,18.87226,10.365680000000001,3.2,4.0,7.6,0.6,6.4,10.6,13.0,12.149299999999997,4.4,3.2,13.2,7.4,1.2,2.4,2.0
8837,4.0,2018.0,147.0,145.0,11.6,3.2,11.4,3.2,11.4,10.0,10.17184,10.835940000000003,5.4,4.2,7.6,0.2,5.0,9.2,13.0,6.539799999999997,7.6,4.0,11.0,7.0,1.6,1.0,2.0
7373,1.0,2018.0,228.0,92.0,13.25,5.0,10.5,3.5,9.5,14.0,10.4546,9.689500000000002,4.75,4.25,10.25,0.5,7.0,7.25,10.25,7.706499999999997,5.5,5.0,11.25,7.75,2.25,2.25,2.0
8141,5.0,2018.0,163.0,235.0,13.6,5.4,11.6,3.8,8.4,10.4,14.689419999999998,8.219500000000004,5.8,5.0,10.2,0.8,4.6,8.8,8.0,8.480299999999996,8.0,1.8,11.2,7.6,2.4,1.6,2.0
8134,1.0,2018.0,227.0,89.0,15.0,5.2,11.4,3.0,8.2,10.6,11.245099999999999,12.200700000000003,6.0,5.2,12.0,0.8,5.0,10.8,9.8,13.654480000000001,2.0,2.4,7.6,10.6,3.4,1.8,0.0
7754,1.0,2018.0,228.0,73.0,12.4,3.2,12.2,4.4,9.4,10.4,12.39572,13.072820000000004,4.0,3.6,8.8,1.8,4.8,10.2,11.0,7.286439999999997,4.8,5.0,10.2,8.6,2.2,2.4,0.0
8504,3.0,2018.0,125.0,124.0,13.2,2.4,13.6,5.0,6.6,13.0,18.446260000000002,11.764580000000002,5.0,4.6,10.0,1.0,6.6,11.0,12.4,11.094319999999998,5.6,3.2,14.4,6.6,1.4,2.6,2.0
8502,3.0,2018.0,117.0,122.0,13.4,4.4,8.6,3.4,12.0,8.4,10.845359999999998,19.713500000000003,6.4,4.4,9.0,1.2,3.8,10.6,13.0,10.458319999999997,5.8,5.0,8.8,8.4,2.8,2.6,2.0
8499,1.0,2018.0,92.0,82.0,12.0,4.8,14.6,3.8,11.0,11.8,12.670499999999997,7.1515600000000035,4.2,3.4,9.6,0.8,7.2,7.4,9.6,11.035139999999997,1.8,4.6,12.4,8.4,2.4,1.0,2.0
8505,1.0,2018.0,73.0,229.0,10.8,4.4,15.8,5.2,10.0,8.4,14.19192,7.254520000000002,4.0,2.8,8.4,0.8,6.2,7.0,10.8,10.982959999999997,2.6,4.8,11.8,7.8,1.8,1.0,1.0
7374,1.0,2018.0,73.0,72.0,13.5,4.75,11.5,4.75,9.0,14.25,11.087924999999998,9.584375000000003,5.5,4.0,11.0,0.25,6.0,8.25,8.0,6.800874999999996,4.75,6.0,10.25,8.75,2.0,2.0,1.0
7375,1.0,2018.0,83.0,81.0,13.0,5.25,13.0,6.0,7.25,14.75,10.941299999999998,9.411950000000004,6.25,3.5,10.0,0.75,6.0,8.25,8.0,6.800874999999996,4.75,6.0,10.25,8.75,2.0,2.0,2.0
7376,5.0,2018.0,161.0,167.0,12.6,4.6,20.0,7.0,12.0,10.0,11.982899999999999,9.899500000000002,5.0,3.8,8.0,1.4,7.0,10.0,10.8,8.465259999999995,3.2,4.4,13.6,9.8,1.8,2.8,2.0
7378,4.0,2018.0,158.0,153.0,21.0,6.6,9.0,2.4,12.2,6.8,7.21138,15.78182,3.2,2.8,16.8,0.6,3.8,11.8,8.0,11.808139999999998,2.2,4.8,9.6,9.6,2.2,3.2,1.0
