,leagueID,season,homeTeamID,awayTeamID,xGoals_h,shots_h,shotsOnTarget_h,deep_h,ppda_h,corners_h,total_xAssists_h,total_key_passes_h,total_xGoalsChain_h,total_blocked_shots_h,total_saved_shots_h,xGoals_a,shots_a,shotsOnTarget_a,deep_a,ppda_a,corners_a,total_xAssists_a,total_key_passes_a,total_xGoalsChain_a,total_blocked_shots_a,total_saved_shots_a,game_month,game_day,redCards_h_cat,redCards_a_cat,ownGoals_h_cat,ownGoals_a_cat,yellowCards_h_cat,yellowCards_a_cat,total_assists_h_cat,total_assists_a_cat,result
15,1.0,2015.0,90.0,76.0,0.760848,16.0,5.0,3.0,5.9524,2.0,0.692929594,15.0,3.612535328,3.0,5.0,0.684036,6.0,0.0,4.0,11.5,4.0,0.640165105,5.0,0.184434794,1.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
16,1.0,2015.0,81.0,75.0,0.513491,10.0,3.0,10.0,6.375,8.0,0.42077945,8.0,1.919270795,4.0,2.0,1.80939,10.0,5.0,5.0,15.0455,4.0,1.071819669,7.0,4.666093498,2.0,3.0,8.0,15.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0
17,1.0,2015.0,78.0,83.0,0.964134,11.0,4.0,5.0,11.7083,6.0,0.734753704,7.0,2.977093918,3.0,3.0,2.05542,20.0,7.0,0.0,6.9655,6.0,1.63203362,17.0,7.781682536,0.0,5.0,8.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
18,1.0,2015.0,88.0,80.0,2.18579,18.0,8.0,0.0,5.7273,5.0,2.16342473,17.0,9.940190606,4.0,5.0,0.482423,10.0,3.0,6.0,6.6207,0.0,0.386646543,7.0,1.216241766,3.0,3.0,8.0,16.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,2.0
19,1.0,2015.0,87.0,73.0,2.15062,18.0,2.0,9.0,6.4138,6.0,1.499638459,11.0,5.704759687,5.0,1.0,0.460805,13.0,2.0,6.0,10.0,0.0,0.460804778,13.0,1.522530369,5.0,2.0,8.0,17.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0
20,1.0,2015.0,89.0,86.0,1.2491,20.0,8.0,12.0,4.7097,0.0,0.672679318,15.0,2.512741594,0.0,0.0,0.4384,7.0,0.0,1.0,18.4375,5.0,0.410222487,6.0,0.778795579,3.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
21,1.0,2015.0,79.0,85.0,0.0,20.0,7.0,4.0,9.6333,9.0,2.020585126,14.0,3.34997594,5.0,0.0,0.698228,6.0,1.0,2.0,10.9286,0.0,0.627011053,5.0,0.490361566,1.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0
22,1.0,2015.0,77.0,84.0,0.569426,10.0,2.0,2.0,10.1034,3.0,0.380697746,7.0,0.795147866,3.0,1.0,1.56064,20.0,9.0,4.0,8.5789,4.0,1.492858091,19.0,6.921607029,5.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0
23,1.0,2015.0,78.0,71.0,1.23807,16.0,6.0,9.0,8.1667,6.0,1.089531783,14.0,3.678072944,3.0,4.0,0.765278,11.0,2.0,6.0,8.4762,4.0,0.720893583,9.0,1.847999441,3.0,2.0,8.0,22.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0
24,1.0,2015.0,75.0,82.0,0.829012,13.0,2.0,5.0,15.5789,2.0,0.631721457,9.0,0.963018879,6.0,1.0,1.89437,19.0,6.0,5.0,4.9474,7.0,1.732643503,16.0,6.97272332,4.0,5.0,8.0,22.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0
